# H2O modified n0 1.16
# Taken from new n0 results
# (W. Rocha, 16-04-2022 dd/mm/yyyy)
# First line is N_lam and rho [g/cm^3], other lines are: lambda[um] n k
  3000  0.940
      4.04501     1.20813     0.00795
      4.05157     1.20782     0.00825
      4.05814     1.20744     0.00824
      4.06470     1.20696     0.00814
      4.07127     1.20646     0.00789
      4.07784     1.20644     0.00846
      4.08440     1.20612     0.00851
      4.09097     1.20588     0.00845
      4.09753     1.20562     0.00895
      4.10410     1.20545     0.00889
      4.11066     1.20508     0.00893
      4.11723     1.20473     0.00908
      4.12380     1.20457     0.00906
      4.13036     1.20411     0.00926
      4.13693     1.20376     0.00936
      4.14349     1.20347     0.00964
      4.15006     1.20327     0.00960
      4.15662     1.20284     0.00982
      4.16319     1.20277     0.01022
      4.16976     1.20229     0.00989
      4.17632     1.20211     0.01021
      4.18289     1.20216     0.01042
      4.18945     1.20154     0.01021
      4.19602     1.20143     0.01034
      4.20258     1.20124     0.01046
      4.20915     1.20116     0.01037
      4.21572     1.20091     0.01037
      4.22228     1.20053     0.01000
      4.22885     1.20004     0.01004
      4.23541     1.19922     0.00991
      4.24198     1.19772     0.01045
      4.24854     1.19610     0.01150
      4.25511     1.19659     0.01386
      4.26168     1.19799     0.01478
      4.26824     1.20031     0.01574
      4.27481     1.20047     0.01329
      4.28137     1.20096     0.01188
      4.28794     1.19888     0.01223
      4.29450     1.19838     0.01247
      4.30107     1.19777     0.01258
      4.30763     1.19709     0.01263
      4.31420     1.19698     0.01322
      4.32077     1.19698     0.01353
      4.32733     1.19674     0.01362
      4.33390     1.19621     0.01399
      4.34046     1.19594     0.01437
      4.34703     1.19596     0.01469
      4.35359     1.19623     0.01489
      4.36016     1.19576     0.01491
      4.36673     1.19574     0.01550
      4.37329     1.19565     0.01578
      4.37986     1.19579     0.01584
      4.38642     1.19573     0.01611
      4.39299     1.19556     0.01624
      4.39955     1.19563     0.01676
      4.40612     1.19552     0.01689
      4.41269     1.19569     0.01729
      4.41925     1.19579     0.01739
      4.42582     1.19581     0.01763
      4.43238     1.19559     0.01796
      4.43895     1.19601     0.01829
      4.44551     1.19603     0.01840
      4.45208     1.19622     0.01850
      4.45865     1.19611     0.01894
      4.46521     1.19629     0.01902
      4.47178     1.19661     0.01941
      4.47834     1.19693     0.01937
      4.48491     1.19692     0.01987
      4.49147     1.19780     0.01977
      4.49804     1.19788     0.01938
      4.50461     1.19806     0.01935
      4.51117     1.19805     0.01986
      4.51774     1.19872     0.02014
      4.52430     1.19886     0.01992
      4.53087     1.19913     0.01974
      4.53743     1.19949     0.01999
      4.54400     1.20000     0.01980
      4.55057     1.20036     0.01977
      4.55713     1.20049     0.01944
      4.56370     1.20055     0.01939
      4.57026     1.20079     0.01899
      4.57683     1.20120     0.01902
      4.58339     1.20149     0.01887
      4.58996     1.20204     0.01864
      4.59653     1.20197     0.01807
      4.60309     1.20191     0.01809
      4.60966     1.20224     0.01781
